,method,data_type,k_middle,k_top,graph_type,connect_type,stdev,modularity_mid,modularity_top,node_degree_within_middle,node_degree_between_middle,node_degree_within_top,node_degree_between_top
230,bethe_hessian,reg_balanced,14,7,scale_free,full,01,0.7036447239608794,0.6363755197887001,198.26666666666668,4.109523809523809,645.6,30.45
231,silouette,reg_balanced,14,3,scale_free,full,01,0.7036447239608794,0.6363755197887001,198.26666666666668,4.109523809523809,645.6,30.45
232,bethe_hessian,reg_balanced,12,6,scale_free,full,01,0.5151803107264319,0.6027583209722079,196.06666666666666,9.738095238095237,814.0,45.8
233,silouette,reg_balanced,12,5,scale_free,full,01,0.5151803107264319,0.6027583209722079,196.06666666666666,9.738095238095237,814.0,45.8
234,bethe_hessian,reg_balanced,13,7,scale_free,full,01,0.5220424025008852,0.5151969846861999,197.06666666666666,9.061904761904762,717.0,63.7
235,silouette,reg_balanced,12,7,scale_free,full,01,0.5220424025008852,0.5151969846861999,197.06666666666666,9.061904761904762,717.0,63.7
236,bethe_hessian,reg_balanced,13,7,scale_free,full,01,0.6004432573513006,0.56754025248935,197.33333333333334,6.809523809523809,675.8,50.55
237,silouette,reg_balanced,9,4,scale_free,full,01,0.6004432573513006,0.56754025248935,197.33333333333334,6.809523809523809,675.8,50.55
238,bethe_hessian,reg_balanced,13,7,scale_free,full,01,0.6388763114780481,0.631273670864751,198.93333333333334,5.723809523809524,709.4,31.95
239,silouette,reg_balanced,12,6,scale_free,full,01,0.6388763114780481,0.631273670864751,198.93333333333334,5.723809523809524,709.4,31.95
240,bethe_hessian,reg_balanced,14,7,scale_free,full,01,0.7246902459821944,0.641767870563071,197.46666666666667,3.6095238095238096,629.4,28.65
241,silouette,reg_balanced,14,6,scale_free,full,01,0.7246902459821944,0.641767870563071,197.46666666666667,3.6095238095238096,629.4,28.65
242,bethe_hessian,reg_balanced,13,7,scale_free,full,01,0.5945839449706125,0.6258144422034142,196.86666666666667,7.0,737.0,36.9
243,silouette,reg_balanced,15,6,scale_free,full,01,0.5945839449706125,0.6258144422034142,196.86666666666667,7.0,737.0,36.9
244,bethe_hessian,reg_balanced,11,6,scale_free,full,01,0.3576824129405244,0.31480233374005195,198.53333333333333,17.323809523809523,706.8,154.1
245,silouette,reg_balanced,12,5,scale_free,full,01,0.3576824129405244,0.31480233374005195,198.53333333333333,17.323809523809523,706.8,154.1
246,bethe_hessian,reg_balanced,12,6,scale_free,full,01,0.5785906600439567,0.5009374454416514,198.46666666666667,7.647619047619048,644.4,68.05
247,silouette,reg_balanced,12,3,scale_free,full,01,0.5785906600439567,0.5009374454416514,198.46666666666667,7.647619047619048,644.4,68.05
248,bethe_hessian,reg_balanced,13,7,scale_free,full,01,0.6235944403466448,0.6333253933008863,196.2,6.09047619047619,709.2,33.8
249,silouette,reg_balanced,12,4,scale_free,full,01,0.6235944403466448,0.6333253933008863,196.2,6.09047619047619,709.2,33.8
